 DÉCADA 1980-1989,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
MXIM-AV-1-10-36,"Purépechas, los que viven la vida","Instituto Nacional Indigenista (INI), Archivo Etnográfico Audiovisual",,"Óscar Magaña, Juan Carlos Colín, Coca Gaxiola","CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas. Una vez constituido el área, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video. A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx) ",,,
MXIM-AV-1-10-37,Reporters (Reporteros),"Bibliotthéque Publique d´Information, Centre G. Pompidou, PARI FILMS",,,,,,
MXIM-AV-1-10-38,Rescate de la abeja nativa de Yucatán,"Universidad Autónoma de Yucatán, Dirección General de Difusión y Comunicación, Departamento de Producción Audiovisual",,,,,,
MXIM-AV-1-10-39,Reunión de madres y padres (en una escuela secundaria) VIDEO MOTIVACIONAL. ,Creativos Asociados,,"Natalio Koziner, Carlos Galettini",,,,
MXIM-AV-1-10-40,Urgencias,"Centre Nacional de la Cinematographie (CNC), Double D Copyright Films, TF1 Films Productions",,Claudine Nougaret,,,,
MXIM-AV-1-10-41,"Tiempo de victoria: El Salvador, ocho años de guerra",Sistema Radio Venceremos,,,,,,
MXIM-AV-1-10-42,"Saumialuk ""Le Grand Gaucher""",IMA Productions y La Sept,,Antoine de Cazzotte,,,Donación,2006
MXIM-AV-1-10-43,Semana Santa entre los mayos,Instituto Nacional Indigenista (INI),,"Óscar Magaña, Juan Carlos Colín","CDI (antes INI): La Comisión Nacional para el Desarrollo de los Pueblos Indígenas, es un organismo descentralizado de la Administración Pública Federal, no sectorizado, con personalidad jurídica, con patrimonio propio, con autonomía operativa, técnica, presupuestal y administrativa, con sede en la Ciudad de México, Distrito Federal. La Fototeca Nacho López tiene sus antecedentes en lo que se denominó, por más de 20 años Archivo Etnográfico Audiovisual del INI. En 1977 el Instituto Nacional Indigenista estableció formalmente, como parte de sus políticas, un área especializada en el registro audiovisual de los diferentes aspectos culturales, económicos y sociales de la población indígena a través de lo que denominó Archivo Etnográfico Audiovisual. La finalidad de éste fue apoyar actividades de investigación antropológica, dedicadas a la difusión de la cultura e identidad de las comunidades indígenas. Una vez constituido el área, el INI, en coordinación con el Fondo Nacional para las Actividades Sociales (Fonapas), decidieron llevar a cabo en 1977 el proyecto Ollin Yoliztli, el cual fue uno de los primeros proyectos en el país que tuvo como objetivo rescatar el patrimonio cultural de los pueblos indígenas de México a través de la fotografía, el registro fílmico y el sonoro. Las primeras filmaciones se realizaron en 35 y 16 mm, y a partir de 1990 la producción se lleva a cabo en video. A partir de 2002 el Acervo lleva el nombre del antropólogo Alfonso Muñoz Jiménez, quien fuera realizador de diversos materiales fílmicos y de video del INI y del Instituto Nacional de Antropología e Historia, así como fundador, en 1977, con Nacho López y Óscar Menéndez, del Archivo Etnográfico Audiovisual del INI. También ocupó el cargo de Subdirector de Imagen y Sonido de ese Instituto. Los acervos están divididos en seis fondos: de Producciones Editadas, de Preservación, de Material de Stock, de Copias de Exhibición, de Submaster y Documental. Los materiales de la cineteca y videoteca fueron producidos de 1951 a 2001 y se preservan 7864 cintas. A continuación se presenta el total de cintas por fondo y los años de los que se localiza información. (Extraído de http://www.conadepi.gob.mx)",,,
MXIM-AV-1-10-44,"Taller de trovadores Xichu, Gto.",Secretaría de Educación Pública - Dirección General de Culturas Populares,,,"Dirección General de Culturas Populares: Desde 1989, Culturas Populares e Indígenas ha impulsado el programa de apoyo a las culturas Municipales y Comunitarias -PACMYC- con el cual se han podido financiar más de 7 mil proyectos en todo el país. Como una alternativa para contribuir en la valoración y el reconocimiento de la expresión artística y artesanal; así como en el desarrollo sociocultural de los pueblos la DGCPI creó el Programa de Arte Popular y el Programa de Escuelas Itinerantes de Diseño Artesanal, las cuales ya operan en Tlaxcala y Oaxaca. En el ámbito indígena y como respuesta a las demandas culturales de los grupos asentados en ciudades, zonas conurbadas, campos agrícolas, centros turísticos e industriales del país y el extranjero, la DGCPI cuenta ya con un Programa de apoyo a las Culturas Indígenas Migrantes. Dentro de su trabajo en beneficio de la cultura popular, la DGCPI colabora en la difusión de un sin número de actividades que con este fin realizan instituciones públicas y privadas del DF y de los distintos estados de la República Mexicana. También promueve y organiza, por medio de sus Unidades Regionales: programas de capacitación a Promotores culturales, reuniones, encuentros y Festivales de cultura popular e indígena. (http://www.culturaspopulareseindigenas.gob.mx/programas.html)",,,
MXIM-AV-1-10-45,Knochenumbettung,,,,,,,
MXIM-AV-1-10-46,La balada del pequeño soldado,,,,,"Werner Herzog nació en Munich el 5 de septiembre de 1942. Se crió en un remoto pueblo de montaña en Baviera y estudió Historia y Literatura alemana en Múnich y Pittsburgh. Hizo su primera película en 1961 a la edad de 19. Desde entonces ha producido, escrito y dirigido más de sesenta películas y documentales como AGUIRRE, THE WRATH OF GOD (1972), NOSFERATU (1978), FITZCARRALDO (1982), LESSONS OF DARKNESS (1992), LITTLE DIETER NEEDS TO FLY (1997),  MY BEST FIEND (1999), INVINCIBLE (2000), GRIZZLY MAN (2005), ENCOUNTERS AT THE END OF THE WORLD (2007), CAVE OF FORGOTTEN DREAMS (2011). Werner Herzog ha publicado más de una docena de libros de prosa, y dirigido otras tantas óperas. Werner Herzog vive en Munich y Los Ángeles. http://www.wernerherzog.com/102.html",Donación,06/03/2013
MXIM-AV-1-10-47,Mer dare ó Nas vek,,,,,,,
MXIM-AV-1-10-48,Sir Anthony Van Dyck: Samson and Delilah (Sir. Antonio van Dyck: Sanson y Dalila),RM Arts,RM Associates,,,,,
MXIM-AV-1-10-49,Lorenzo Lotto: Madonna and Child (Lorezo Lotto: Virgen con el niño con Santa Catalina y San Jacobo),RM Arts,RM Associates,,,,,
MXIM-AV-1-10-50,Jacob van Ruisdael: The Large Forest (Jacob van Ruisdael: El bosque grande),RM Arts,RM Associates,,,,,
MXIM-AV-1-10-51,Joachim Patinier: The baptism of Christ (Joaquón Patinier: El Bautismo de Cristo),RM Arts,RM Associates,,,,,
MXIM-AV-1-10-52,Hans Memling: St. John Altarpiece (Hans Memling: El retablo de San Juan),RM Arts,RM Associates,,,,,
MXIM-AV-1-10-53,Edvard Munch: Four Girls on a Jetty (Edvard Munch: Cuatro niñoas en el embarcadero),RM Arts,RM Associates,,,,,
MXIM-AV-1-10-54,"Andy Warhol: The texan, Portrait of Robert Rauschenberg (Andy Warhol: El tejano. Retrato de Robert Rauschenberg)",RM Arts,RM Associates,,,,,
MXIM-AV-1-10-55,Stefan Lochner: The Madonna of the rose bower (Stefan Lochner: La virgen del rosal) ,RM Arts,RM Associates,,,,,
MXIM-AV-1-10-56,Wolf Vostell: Miss América (Wolf Vostell: Señorita América),RM Arts,RM Associates,,,,,
MXIM-AV-1-10-57,Ernst Ludwig Kirchner: Five women in the street (Ernst Ludwig Kirchner: Cinco mujeres en la calle),RM Arts,RM Associates,,,,,
MXIM-AV-1-10-58,Hugo Van Der Goes: Adoration of the Magi (Hugo van Der Goes: Adoración de los magos),RM Arts,RM Associates,,,,,
MXIM-AV-1-10-59,Yves Tanguy: A las 4 de la tarde en verano Esperanza,RM Arts,RM Associates,,,,,
MXIM-AV-1-10-60,Sonia Delaunay: Electric Prisms,RM Arts,RM Associates,,,,,
MXIM-AV-1-10-61,Karl Friedrich Schinkel: Medieval city on the banks of a river,RM Arts,RM Associates,,,,,
MXIM-AV-1-10-62,Stanley Spencer: The Resurrection Cookham,RM Arts,RM Associates,,,,,
MXIM-AV-1-10-63,Louis or Antoine Le Nain: Peasant Family,RM Arts,RM Associates,,,,,
MXIM-AV-1-10-64, John Everett Millais: Ophelia,RM Arts,RM Associates,,,,,
MXIM-AV-1-10-65,Andrea Mantegna: Crucifixion of Christ,RM Arts,RM Associates,,,,,
MXIM-AV-1-10-66,"Divine horsemen, The living Gods of Haiti (Jinetes Divinos: Los Dioses Vivientes de Haití)",,Mystic Fire Video,,,"Nació en Kiev, Ucrania, con el nombre de Eleanora Derenkowsky, pero desarrolló su carrera profesional en Estados Unidos. En 1922 después de una serie de pogromos antisemitas y por las simpatías de su padre por León Trotsky, la familia voló a Siracusa, Nueva York. El padre acortó el nombre familiar a ""Deren"" poco tiempo después de llegar a Nueva York. Se unió al cuerpo de psiquiatras en el “State Institute for the Feeble-Minded” en Siracusa. Su madre se mudó a París para estar con su otra hija, mientras ella asistía a la “League of Nations School” en Ginebra, Suiza desde 1930 hasta 1933. En 1928, se hizo ciudadana de los Estados Unidos de América.

Deren comenzó sus estudios de grado en la Universidad de Siracusa, donde se une a la “Trotskyist Young People's Socialist League”. A través de la liga de jóvenes socialistas conoce a Gregory Bardacke, con quien se casaría más tarde a la edad de dieciocho años. Después de graduarse en 1935 se mudó a la ciudad de Nueva York. Ella y su esposo se volvieron protagonistas de varias causas socialistas en la ciudad. Ella se graduó de la Universidad de Nueva York y luego se separa de Gregory. El divorcio estuvo completo en 1939. Comenzó estudios de maestría en literatura inglesa en la “New School for Social Research” y los completa en el “Smith College”.

Después de graduarse en el Smith, Deren regresó a la “New York’s Greenwich Village” donde trabajó como secretaria free-lance. En 1941 se convierte en la secretaria personal de la coreógrafa Katherine Dunham, al final de una gira la compañía de danza se detuvo en Hollywood. Ahí fue donde Deren conoció a Alexandr Hackenschmied, un fotógrafo y camarógrafo checo muy conocido, quien se convertiría en su segundo esposo en 1942. Hackenschmid voló a Checoslovaquia después del avance de Hitler. Cambio su nombre por petición de Deren a Alexander Hammid (Pseudónimo Sasha) porque Deren pensó que Hackenschmid sonaba muy judío, sin embargo él no lo era"""" (Fuente, https://es.wikipedia.org/wiki/Maya_Deren)",,
MXIM-AV-1-10-67,La matelassière (La colchonera),Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-68,La fileuse (La hilandera),Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-69,La trempeuse (La florista),Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-70,L'orangère,Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-71,La brodeuse,Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-72,La dame-lavabo,Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-73,La relieuse,Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-74,La  bistrote,Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-75,La canneuse,Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-76,La repasseuse,Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-77,La rémouleuse,Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-78,La maítre-verrier,Camera One Douce,,Isabel Pons,,,,
MXIM-AV-1-10-79,First Contact. New Guinea's highlanders encounter the outside world. ,Filmmakers Library,,,,,,
MXIM-AV-1-10-80,Después de…,,,,,,Donación: Belkis Vega,40086
MXIM-AV-1-10-81,Después de... No se os puede dejar solos,,,,,,Donación: Belkis Vega,40086
MXIM-AV-1-10-82,Después de... Atado y bien atado,,,,,,Donación: Belkis Vega,40086
MXIM-AV-1-10-83,La isla de las flores,,,,,"Jorge Furtado: es el cineasta brasileño más premiado de la actualidad. Nacio en Porto Alegre, Brasil, el 9 de junio 1959. Entre los cortos más destacados que ha dirigido se encuentran: O día em que Doríval encarou a guarda (1986), Barbosa (1988) y A matadeira (1994); En 1989 obtiene un resonante éxito con su documental La isla de las flores (1989).
Con ""Esta no es tu vida"", que resume en dieciséis minutos la biografía de una ama de casa de Porto Alegre. Conquista varios premios en su país con su primer largometraje Houve uma vez dois verões (2002) y repite la experiencia con El hombre que copiaba (2003). (Fuente: Tematika)",,
MXIM-AV-1-10-84,Corresponsales de guerra I y II,"Producciones Granma, Instituto Cubano del Arte e Industria Cinematográficos",,Manuel Aneiros,"Gramma: Órgano Oficial del Comité Central del Partido Comunista de Cuba.                                                                                          Cubano del Arte e Industria Cinematográficos (ICAIC): Fue creado el 24 de marzo de 1959, a pocos días del triunfo de la Revolución Cubana, como expresión manifiesta del valor otorgado a la cultura artística y, más concretamente, al cine. Con más de 50 años de trabajo, el ICAIC es la autoridad cinematográfica nacional","Belkis Vega: Directora y Guionista de cine . Profesora de la Cátedra de documental de la EICTV. Es una de las más destacadas documentalistas cubanas. Realizó estudios de Diseño Informacional y es graduada de Licenciatura en Historia del Arte.  Ha filmado reportajes en Siria y El Congo, y documentales en El Líbano, Angola y España.",Donación: Belkis Vega,
MXIM-AV-1-10-85 ,Corresponsales de guerra III y IV,"Producciones Granma, Instituto Cubano del Arte e Industria Cinematográficos",,Manuel Aneiros,"Gramma: Órgano Oficial del Comité Central del Partido Comunista de Cuba.                                                                                          Cubano del Arte e Industria Cinematográficos (ICAIC): Fue creado el 24 de marzo de 1959, a pocos días del triunfo de la Revolución Cubana, como expresión manifiesta del valor otorgado a la cultura artística y, más concretamente, al cine. Con más de 50 años de trabajo, el ICAIC es la autoridad cinematográfica nacional","Belkis Vega: Directora y Guionista de cine . Profesora de la Cátedra de documental de la EICTV. Es una de las más destacadas documentalistas cubanas. Realizó estudios de Diseño Informacional y es graduada de Licenciatura en Historia del Arte.  Ha filmado reportajes en Siria y El Congo, y documentales en El Líbano, Angola y España.",Donación: Belkis Vega,
MXIM-AV-1-10-86,The Social Life of Small Urban Space (La socialización en los pequeños espacios urbanos),Municipal Art Society of New York,,,"La Sociedad Municipal de Arte de Nueva York , fundada en 1893, es una organización de membresía sin fines de lucro que lucha por la inteligente planificación urbana , el diseño y la conservación a través de la educación , el diálogo y la promoción en la ciudad de Nueva York .","William H. Whyte: estudio de los espacios rurales y urbanos en los que el hombre pueda mejorar sus condiciones de vida. Entre sus obras de esta segunda etapa se cuentan El último paisaje (1968), La vida social en los espacios urbanos pequeños (1980) y City (1989). Fue también asesor de numerosos proyectos de construcción y profesor del Hunter College de la City University de Nueva York.-",,
MXIM-AV-1-10-87,San Clemente,Double D Copyright Films,,,"Double D Copyright Films: es una empresa de financiación, producción y distribución en línea con sede en Londres, que maneja Documentales, plataformas en línea y Películas. Doble D construye comunidades para sus películas durante la fase de desarrollo mediante la participación de las partes interesadas en todos los aspectos del proceso de filmación. También utilizamos el crowdfunding y estrategias de distribución en línea, así como las rutas tradicionales a través de los agentes de ventas, distribuidores y difusores. (Fuente: Wikipedia)","Raymond Depardon es un fotógrafo y cineasta francés nacido en Villefranche-sur-Saône. Es el fundador de la agencia Gamma. Actualmente, es uno de los más prestigiosos directores de cine documental.",,
