"codigo_de_referencia","sinopsis","descriptor_onomastico","descriptor_toponimico","descriptor_cronologico","tipo_de_produccion","genero","fuentes","recursos","versiones","formato_original","material_extra"
"MXIM-AV-1-11-19","La fiesta de la Candelaria es celebrada el 2 de febrero. En esta ocasión los Cargueros de las diferentes estatuas de la Virgen María reciben a los visitantes. Aunada a la danza y a la música, es emplazada una bandera cerca de la ranchería, donde se quedará hasta el comienzo de la festividad. Las portadoras de las velas, las Cargueras de de la Inmaculada Concepción, otorgan cinco velas nuevas a la iglesia. Éstas son bendecidas en la oración matutina. En días previos a la Candelaria, aparecen los Chereques: un grupo de hombres que bailan por toda la aldea cubiertos por \"feas\" máscaras. Ellos organizan una banda que los acompaña hasta la culminación de la Candelaria. En la plaza se lleva a cabo la danza final. La fiesta termina con la quema de juegos pirotécnicos con forma de toro.","","","","Película documental","","Entrevistas, Grabación de campo, Fotografías, Cartografía, Testimonios videorales, Música de época, Documentos","Animación, Narración en off, Conducción, Gráficos","","",""
"MXIM-AV-1-11-20","En este, su vigésimo octavo documental, Canal 6 de julio presenta una crónica de los principales sucesos nacionales a partir de las órdenes de aprehensión en contra de dirigentes del EZLN, el 9 de febrero de 1995, hasta la Consulta Nacional por la Paz y la Democracia (27 de agosto). Imágenes inéditas de los encuentros en San Adnrés Larráizar; la presencia de las fuerzas armandas en Chiapas; el conflicto sindical de Ruta 100; las movilizaciones del Barzón y los asesinatos de Aguas Blancas, Guerrero, complementan la visión de un agitado momento de la vida política nacional.","Ernesto Zedillo, Subcomandante Marcos, Comandante Tacho, Samuel Ruiz, Rosario Ibarra, Marco A. Bernal, Andrés Manuel López Obrador, Roberto Madrazo, Abraham Polo Usanga, Emilio Chuayffet Gloria Benavides, Javier Elorriaga, Julio César Ruiz Ferro, Rubén Figueroa, Paulina Fernández, Profirio Muñoz Ledo,","México: Chiapas: San Andrés Larráiza, San Cristóbal, La Realidad, Nuevo Matzam, Cuxulja, Los Bambues. Ciudad de México. Guerreo: Atoyac, Coyuca (Aguas Blancas).","1995","Película documental","","Entrevistas, Grabación de campo, Fotografías, Cartografía, Testimonios videorales, Música de época, Documentos","Animación, Narración en off, Conducción, Gráficos","","",""
"MXIM-AV-1-11-21","Segundo cap´ítulo del relato narrado en \"Chiapas: Historia inconclusa\", es un recuento visual de los acontecimientos sucedidos de septiembre de 1995 a septiembre de 1997 y que desde enero de 1994 escriben la historia de nuetsro país. Es la permanencia de la voz que nace del sureste mexicano, hace eco en todo el mundo y salpica la historia reciente con 1,111 rostros anónimos que marchan a la Ciudad de méxico para traer el grito que se reisste  al olvido, que no se rinde a la desesperanza; el grito que nos llama a ser protagonistas del presente. ","Esteban Moctezuma, Emilio Chuayffet, subcomandante Marcos, Comandante David, Eduardo Robledo Rincón, Amado Avendaño, Comandante Tacho, Heberto Castillo, Obispo Samuel Ruíz, Paulina Fernández, Cuauhtémoc Cárdenas, Javier Elorriaga, Gilberto López y Rivas, Antonio García de León, Alfonso Ramírez Cuéllar, Enrique Flota, Sebastián Entzin, Abelardo Torres, Comandante Ramona. Isaac. Luis Villoro, Claribel,  Joaquín Coldwell","México: Chiapas: San Miguel, San Andrés Larráinzar, San Cristóbal de las Casas, Aguascalientes, Tuxtla Gutiérrez, Selva Lacandona, La Realidad. Ciudad de México: Reforma, Ángel de la Independencia, Monumento a la Revolución, CU, Tlatelolco. Puebla: Acatlán.","10 de abril de 1995,  22 de abril de 1995,  12 de mayo, 7-11 de junio,  29 de junio,  4 de julio, 6 de julio, 24 de julio,  5 de septiembre, 1 de enero de 1994, 10 de octubre de 1994, 6 de diciembre de 1994,  8 de diciembre de 1994, 5 de enero de 1995, 10,11,15,18, 28 de febrero de 1995, 4, 8, 10, 22,27 de marzo de 1995, 3 de enero de 1996, 7 de abril de 1996, Mayo de 1996, 3 agosto de 1997, 11 octubre 1996, 14 de marzo 1997,  6 julio 1997, 11, 12, 16, 17 septiembre 97.","Película documental","","Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración en off, conducción, animación, gráficos","","",""
"MXIM-AV-1-11-22","Chiapas, la otra guerra, ofrece una visión completa del conflicto armado en Chiapas desde su inicio -la madrugada del 1 de enero de 1994- hasta la culminación de los diálogos de paz en San Cristóbal de las Casas, y la posterior consulta entre las comunidades del EZLN. Chiapas, la otra guerra -vigésimo primera producción de Canal 6 de julio- consigue reunir imágenes de extraordinario valor documental de los diversos sucesos que rodearon este hecho histórico: la presencia del EZLN en San Cristóbal, los dís de guerra; el acoso a las comunidades zapatistas, la liberación del general Absalón Castellanos; y una entrevista exclusiva con la dirigencia de esa fuerza insurgente. ","Carlos Salinas de Gortari, Jacobo Zabludovsky, Bill Clinton, Juan Pablo II, Manuel Camacho, Luis Donaldo Colosio, Samuel Ruiz, Javier López, Absalón Castellanos, Subcomandante Marcos, Cuauhtémoc Cárdenas, Diego Fernández de Cevallos ","México: Chiapas: Guadalupe Tepeyac, Altamirano, Morelia, San Cristóbal","1 de enero de 1994, 17, 20  de febrero 94. 2, 23  de marzo 94. ","Película documental","","Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración en off, conducción, animación, gráficos","","",""
"MXIM-AV-1-11-23","Un itinerario visual de la historia reciente que principia con el levantamiento armado del primero de enero de 1994 y se extiende hasta los convulsionados primeros meses del año de 1995. Un grito de emergencia que hace eco en el país entero y se manifiesta lleno de júbilo y esperanza en las altas de la ciudad de méxico. Los rostros anónimos que están construyendo la historia. ","Carlos Salinas de Gortari, Manuel Camacho Solís, Samuel Ruíz, Absalón Castellanos, Comandante Ramona,  Subcomandante Marcos, Colosio, Ernesto Zedillo, Amado Avendaño, Jorge Madrazo, Comandante Tacho, Antonio Hernández, Eduardo Robledo Rincón, Rosario ibarra, Constantino Kanter, Armando Bartra, Cuauhtémoc Cárdenas, Comandante Javier, Comandante David, Esteban Moctezuma, Emilio Chuayffet","México: Chiapas: San Cristóbal de las Cass, Comitán, Ocosingo, Guadalupe Tepeyac, Altamirano, Aguascalientes, Selva Lacandona, Tuxtla Gutiérrez, Liquidambar, Venustiano Carranza. DF: Reforma, Madero, Zócalo, Eje Central.","1 de enero 1994, 15, 18 febrero 1994, 21, 22 Agosto de 1994, 8, 10, 12, 14 octubre 94, 1 noviembre 94, 6, 8, 14 diciembre 94, 1, 3, 5, 6, 7, 12, enero 95, 10, 11, 12, 15, 18, 28 febrero 95, 4, 8, 10, 21, 24, 22, 27, 29 marzo 95, 22 abril, 12 mayo, 7-11 junio, 29 de junio, 4, 6, 24 julio, 5 de septiembre de 1995","Película documental","","Testimonios videorales, fotografías, cartografía, entrevistas, grabación de campo, música de época, documentos","Narración en off, conducción, animación, gráficos","","",""
"MXIM-AV-1-11-24","Basado en un análisis hecho sobre el documental de Patricio Guzmán \"La Batalla de Chile\", este filme muestra la memoria gráfica de los testigos y sobrevivientes al golpe de Estado dado al gobierno democrático de Salvador Allende en 1973 por parte del general Augusto Pinochet, basados en archivos fílmicos y fotográficos. Con este fin se persiguió reavivar la conciencia de la juventud chilena conociendo dichos testimonios y activando de nuevo el debate sobre el régimen democrático de Chile y su desarrollo.","","","","Película documental","","Entrevistas, Grabación de campo, Fotografías, Cartografía, Testimonios videorales, Música de época, Documentos","Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-25","La historia se remonta a los años previos al tristemente conocido como “Holocausto húngaro” (más de medio millón de judíos asesinados entre la primavera de 1944 y el final de la guerra) a través de las películas domésticas de György Petö, músico, fotógrafo y hombre de negocios que realizó películas en 8mm desde 1938. Caída libre da cuenta de cómo la familia Petö “trataba de suprimir los temibles signos de amenaza y futura masacre; las ilusiones de una familia judía húngara que se desmorona poco a poco; los momentos felices y banales enmarcados por las Leyes Judías en Hungría”, que el gobierno húngaro fue implementando de manera progresiva, introduciendo en cada nueva actualización nuevas y humillantes restricciones para la comunidad judía que sentaron las bases para la deportación y el exterminio a partir de 1944.","","","","Película documental","","Entrevistas, Grabación de campo, Fotografías, Cartografía, Testimonios videorales, Música de época, Documentos","Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-26","Ciclo testimonios,es un conjunto de videos reunidos por el Instituto de Historia de la Ciudad de Buenos Aires, con el apoyo económico del Gobierno de la Ciudad de Buenos Aires. Contiene tres videos donde los habitantes de los barrios Parque Patricios, La Boca y la zona de El abasto, narran sus recuerdos y comparten sus reflexiones.","","Parque Patricios, La Boca y la zona de El abasto","","","","Entrevistas, Grabación de campo, Fotografías, Cartografía, Testimonios videorales, Música de época, Documentos","Animación, Narración en off, Conducción, Gráficos","","",""
"MXIM-AV-1-11-27","Una compilación de filmes hecha por Peter Delpeut, en un esfuerzo por rescatar del olvido grandes creaciones cinemtográficas mudas de principios del siglo XX de distintos temas y realizadores holandeses. Contiene nueve cortometrajes que ilustran la forma de hacer cine de acción, comedia, drama, etc, durante los años veinte.","","","","Película documental","","Registros fílmicos, Registros fonográficos","Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-28","El iraní Abbas Kiarostami mezcla documental y drama a través de una historia en el que un fanático del cine finge ser el reputado director Mohsen Makmalbaf. El director crrea una fascinante mezcla de documental y ficción en primer plano,todos los actores de la película juegan ellos mismos, y todas las escenas son recreaciones de hechos reales, a excepción de unos pocos que se desarrollan \"en vivo\". Es difícil distinguir entre lo que es real de lo que está escrito. La línea entre el cine y la vida se borra, y no sólo para el público sino para los personajes / personas en la película también.","","","","","","Registros fílmicos, registros fonográficos","Narración en off, conducción, animación, gráficos","","",""
"MXIM-AV-1-11-29","En 1999, el Ejército Zapatista de Liberación Nacional, lanzó la denominada Consulta Nacional, como una propuesta para el respeto de los derechos de los pueblos indios. El 21 de marzo de 1999, a través de redes civiles se instaron mesas para preguntarle a los mexicanos si ¿estás de acuerdo en que los pueblos indígenas deben ser incluídos con toda su fuerza y riqueza en el proyecto nacional y tomar parte activa en la construcción de un México nuevo?, ¿estás de acuerdo en que los derechos indígenas deben ser reconocidos en la Constitución Mexicana con forme a los Acuerdos de San Andrés y a la propuesta correspondiente de la Comisión de Concordia y Pacificación del Congreso de la Unión?, ¿estás de acuerdo en que debemos alcanzar la paz verdadera por la vía del diálogo, desmilitarizando el país con el regreso de los soldados a sus cuarteles como lo establecen la Constitución y las leyes?. ¿estás de acuerdo en que el pueblo debe organizarse y exigir al gobierno que \"mande obedeciendo\" en todos los aspectos de la vida nacional? y ¿estás de acuerdo en que los mexicanos y mexicanas que radican en el extranjero deben ser parte activa en la construcción de un México nuevo y tener derecho al voto en las elecciones?\
El video es una invitación a participar en la consulta \"por la paz y contra la guerra, por el reconocimiento de los derechos de los pueblos indios y contra el racismo y la exclusión, por la democracia y contra el autoritarismo\". Inicia con un recuento de las iniciativas zapatistas por alcanzar la paz desde 1994 hasta 1999 y la respuesta represiva y traicionera del gobierno mexicano.","Subcomandante Marcos, Absalón Castellanos, Samuel Ruiz, Ofelia Medina, Demián Bichir, María Rojo, Héctor Bonilla, Ana Colchero, Bruno Bichir, Leticia Huijara, Jesús Ochoa, Nayely Nesme, Odiseo Bichir, Arcelia Ramirez, Martín Altomaro, Lisset, Alejandro Bichir, Sofía Álvarez, Noemí Mondragón, Ana de Alba, Evelyn Solares, Eugenia Leñero","México: Chiapas: San Cristóbal de las Casas, Aguascalientes, san Miguel, San Andrés Larráinzar. Ciudad de México: reforma, zócalo.","10 enero, 15 febrero, agosto de 1994, enero, 9 de febrero, 27 agosto, 13 de septiembre de 1995, 1 enero, octubre de 1996, marzo, septiembre, 22 diciembre de 1997, enero 1998, 10 y 20 abril 1995, 2 septiembre, 10 diciembre de 1996, 20-22 noviembre de 1998, 21 marzo de 1999.","Película documental","","Grabación de campo, Música de época","Puesta en escena, Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-30","Santa Clara del Cobre es actualmente un centro de producción de artesanías en cobre, que produce estos utensilios golpeando el material para darle forma tal como lo hacían en tiempos coloniales. En los cuarenta la expansión de la industria incluyó platos y ornamentos para los habitantes del pueblo. Guadalupe Lucas demuestra cómo se hace una olla, Pablo Pureco la hechura del plato y Etelberto Ramírez hace floreros. En entrevistas explican el desarrollo de su artesanía y los problemas a los que se enfrentan.","","","","Película documental","","Grabación de campo, Pinturas, Música de época","Puesta en escena, Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-31","En un entorno pobre y a pesar de las carencias, la rumba eleva a los cubanos a momentos estéticos sublimes en el ejercicio de su derecho al gozo. En el video se rehúyen las versiones comerciales e idealizadas de la rumba, y se busca en los barrios, entre negros, blancos y mulatos, una version menos glamorosa, pero de fuerte raigambre popular.","","la Habana, Cuba, San Antonio de los Baños, Barrio El Cerro","1998","Película documental","","Ficción, dibujos, grabación de campo, música de época","Narración en off, conducción","","VHS",""
"MXIM-AV-1-11-32","Una historia del proceso de transformación personal de mujeres que han desarrollado un trabajo comunitario en proyectos de educación infantil popular, desde donde han transitado un camino de reencuentro con ellas mismas y en el que han creado alternativas diferentes de hacer, pensar y vivirse desde lo cotidiano.","","","","Película documental","","Grabación de campo, Ficción, Fotografías, Testimonios videorales, Dibujos, Música de época","Puesta en escena, Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-33","Este programa muestra la manera en que Cuatro Rayas, ubicado en la mixteca poblana, organiza a sus habitantes para extraer el limo de una presa utilizada para la irrigación de sus cultivos. El proyecto comunitario, con apoyo del gobierno, benefició a 150 familias y rehabilitó grandes extensiones de tierra cultivable afectadas por la erosión, creando así alternativas productivas que evitan la migración de sus habitantes.","","","","Película documental","","Grabación de campo, Pinturas, Música de época","Puesta en escena, Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-34","El 6 de julio de 1996, el EZLN clausuró el Foro Especial para la Reforma del Estado, una iniciativa que buscaba tejer puentes con sectores de la sociedad civil para proponer un nuevo pacto social. Al final, el Subcomandante Insurgente Marcos, leyó \"Cuentos para una soledad desvelada\", en el que aborda la perspectiva del mundo y la educación de la Eva y el Heriberto, dos niños zapatistas de Guadalupe Tepeyac, que después de ser atacados por el ejército en febrero de 1995, viven en exilio en la Nueva Guadalupe Tepeyac.","Subcomandante Marcos, Ernesto \"Che\" Guevara, Emiliano Zapata","Chiapas: San Andrés Sacamchem de los Pobres, Guadalupe Tepeyac, Nuevo Guadalupe Tepeyac, La Realidad.\
Distrito Federal.","1916, 1994, 1995, 1998","Película documental","","Grabación de campo, Registros fílmicos, Fotografías, Música de época","Puesta en escena, Animación, Narración en off, Conducción, Gráficos","","",""
"MXIM-AV-1-11-35","Ahuiran ésta localizado en la zona purépecha del Estado de Michoacán. La gente vive de las granjas y de la industria del tejido, trabajando la lana. Los pobladores algunas veces también trabajan en la fábrica de zapatos del lugar. Las mujeres diariamente están totalmente ocupadas en el trabajo del hogar. Al principio del siglo las mujeres de Ahuiran tomaron el control del tejido de rebozos hechos para mujeres en Paracho. Los problemas económicos de las mujeres han producido que se incremente la producción de rebozos hechos con acrílico barato. El filme muestra a las mujeres durante su trabajo de tejido.","","","","Película documental","","Entrevistas, Grabación de campo, Testimonios orales, Registros fonográficos","Puesta en escena, Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-36","Una extraordinaria recopilación fílmica realizada por el holandés Peter Delpeut para Filmmuseum del acervo cinematográfico mudo de principios del siglo XX en su país. Dicha recopilación contiene registros fílmicos realizados en países como la India, Francia, Rusia, Japón, etc.como parte de un gran esfuerzo de innovación e investigación cinematográfica que nos permite visualizar los primeros atisbos de la cultura cinematográfica internacional, con una perspectiva europea sobre el mundo.","","","","Película documental","","Ficción, registros fílmicos, registros fonográficos","Narración en off, conducción, animación, gráficos, puesta en escena","","VHS",""
"MXIM-AV-1-11-37","Es la evocación de un viaje a través del recuerdo, encuentro de personajes entrañables que relatan sus viejos amores, sus fantasías y sus pasiones, de abuelos del Sur de Jalisco, México","Justo Peralta, Rebeca Jiménez, Jesús Ramírez, Juan José Arreola, Manuel Cosío, Clara Aparicio de Rulf, Jaime Sabines, Juan Michel (él mismo) Aurora Arámbula, Eloísa Partida, Cirilo Gallardo, Consuelo Reyes, Víctor Parra, Matías Pérez Rulfo Don Alberto \"El triste\", Los Maclovios","","","Película documental","","Grabación de campo, Documentales, Música de época","Puesta en escena, Animación, Narración en off, Conducción, Gráficos","","","Material extra: subtitulos, audio, características especiales (Notas del director , trailer, making of, personajes, bonus track"
"MXIM-AV-1-11-38","La gran ciudad Auckland en Nueva Zelanda es el lugar donde habitan 85,000 samoanos y algunas otras personas originarias de las islas del pacifico. Para muchos de ellos Nueva Zelanda (Aotearoa) es su lugar, otros han migrado con sus familias desde pequeños o cuando eran jóvenes y han alcanzado un mejor estatus social adaptándose a la sociedad samoa. Pero no importando si son pobres o tienen un mejor nivel de vida todos ellos tienen en común el mismo conflicto de identidad que los liga a sus raíces culturales del Pacífico oeste. En el filme, Tyrone y Michael, dos samoanos que desarrollan difeentes trabajos en su tiempo de ocio conforntan sus expectativas.","","","","Película documental","","Entrevistas, Ficción, Registros fílmicos, Registros fonográficos","Puesta en escena, Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-39","La educación indígena es una de las demandas apremiantes en nuestro país que se ha tratado de atender por medio de escuelas rurales y albergues indígenas. El documental es un recorrido a través de una jornada de actividades escolares desarrolladas en estos, muestra las tareas cotidianas de los niños y las dificultades que enfrentan maestros y padres de familia en el funcionamiento de los albergues.","","","","Película documental","","Ficción, Registros fílmicos, Registros fonográficos","Puesta en escena, Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-40","Esta película documental realizado por el director y artista pintor Jürgen b¨ttcher da una imagen de múltiples facetas de esta construcción simbólica de la Guerra Fría en el momento mismo de su s desmembramiento. Los eventos celebrados del invierno de 1989-1990 se presenciaron en importantes lugares de origen en el centro de Berlín . Además el director combina material documental histórico con técnicas de proyección de cine fascinantes para traer vida a la historia alemana del siglo 20 ","Richard Bleistone, ","Alemania: Berlín: Puerta de Brandenburg. Münster. Bönen.  Hannover","1989, 1990","Película documental","","Testimonios videorales, registros fílmicos, grabación de campo, música de época","Narración en off, conducción, animación, gráficos","","",""
"MXIM-AV-1-11-41","En otra de sus cortometrajes collage de \" found footage \" rescatado de envejecimiento de cine mudo , el cineasta holandés Peter Delpeut rinde homenaje a olvidados actrices de cine italianos que celebran la filosofía llamativo del fin de siglo en una serie de imágenes que abarcan 1913-1920 . Diva Dolorosa es el nombre de la \"diva dolorosa , \" una mujer independiente mente de la pasión que era la heroína de Negro Romanticismo , un movimiento artístico que se preocupa por las contradicciones irónicos de la humanidad . Ellos creían que no había vida sin muerte , no hay belleza sin fealdad , y ninguna pasión ardiente que no sería finalmente quedarse sin combustible . http://www.dvdtalk.com/reviews/32530/diva-dolorosa/","Francesca Bertini, Lyda Borelli, Soava Gallone, Helena Makowska, Pina Menichelli","Italia","1913-1920","Película documental","Found Footage","Grabación de campo, Registros fílmicos, Música de época","Animación, Narración en off, Conducción, Gráficos","","",""
"MXIM-AV-1-11-42","Ésta cápsula se exhibió dentro de Europalia '93 para mostrar la destrucción de ecosistemas y la manera en que se han alterado algunos hábitats y recursos materiales de algunas comunidades indígenas modificando también sus tradiciones y culturas. \"Documental sobre el trabajo realizado por un grupo indígena en torno a la deforestación provocada por la tala inmoderada de los bosques en los que habitan. Se anteponen valores culturales al reflexionar sobre estos daños ocasionados al medio ambiente, referentes a sus tradiciones de salvaguarda del mismo, y en el que buscan también obtener algún tipo de beneficio económico.\"","","","","Película documental","","Entrevistas, Grabación de campo, Registros fílmicos, Música de época","Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-43","Pequeñas capsulas que muestran la historia y los diversos procesos históricos de algunos países de América Latina (Cuba, El Salvador, Colombia, Chile, Nicaragua). En ellas se conocerán los sucesos y protagonistas que modificaron el desarrollo de esos pueblos.","","","","Película documental","","Ficción, Fotografías, Pinturas, Grabados, Hemerografía, Cartografía, Videoclips, Registros fonográficos","Animación, Narración en off, Conducción, Gráficos","","VHS",""
"MXIM-AV-1-11-44","Testimonio de un visionario que entendió la restauración como una especialidad profesional, abocada a mantener vivos los monumentos del pasado sin borrar la impronta de la modernidad. \"El buen restaurador ama lo antiguo. Pero yo le pondría otra condición: debe ser buen arquitecto. Un individuo que no es buen arquitecto no puede entender la arquitectura del pasado y mucho menos restaurarla\". Ricardo de Robina.","Ricardo de Robina","Coatlinchan, Ciudad de México, España, Yucatán, Campeche","1940-1990","Película documental","","Ficción, fotografías, pinturas, grabados, hemerografía, cartografía, animación, videoclips, registros fonográficos","Entrevista, grabación de campo, animación, testimonios orales, testimonios videorales","","VHS",""
"MXIM-AV-1-11-45","El sexenio de Adolfo Ruiz Cortines marcó el pináculo del sistema corporativista de partido único. El Ruiz Cortines público, serio, patriarcal, solemnemente patriótico, fue la imagen del sistema que funcionaba suavemente. Sus visitas a los mercados de barrio, para comprobar el precio y el peso correcto de las tortillas, se convirtieron en leyenda. Al final de su sexenio, la intranquilidad laboral y los albores de los años sesenta permitían imaginar las posteriores fracturas del sistema.","Entique Krauze, Adolfo Ruiz Cortines, Miguel Alemán, David Vargas Bravo, Gilberto Flores Muñoz, Antonio Carrillo Flores, Juan José Rodríguez Prats, Luis Buñuel, Faustino Mayo, Ernesto P. Urruchurto, Antonio Ortiz Mena, Othón Salazar, Margarita García Flores, Antonio Mena Brito, Alejandro Galindo, Manuel Ávila Camacho, Emilio Fernández, Enrique Guzmán, Jacinto Treviño, Vicente Lombrado Toledano, Hesiquio Aguilar, David Vargas Bravo, Adolfo López Mateos, Alfonso Corona Blake, encarnación Pérez, Gustavo Díaz Ordaz, Demetrio Vallejo, Nabor Carrillo, Lázaro Cárdenas, Fidel Castro, Luis H. Álvarez,Humberto Romero, Abel Quezad, Agustín Arriaga Rivera,","México: Veracruz, Ciudad de México: Reforma, zócalo, Eje Central, Chiapas, Chihuahua. Corea.","1952, 1954, 1956, 1957, 1958","Película documental","","Entrevistas, Grabación de campo, Registros fílmicos, Fotografías, Pinturas, Hemerografía, Testimonios orales, Testimonios videorales, Noticieros fílmicos, Dibujos, Música de época, Documentos","Puesta en escena, Animación, Narración en off, Conducción","","",""
"MXIM-AV-1-11-46","\"En los cines se proyectaba ''Los olvidados'' de Luis Buñuel. En los salones de baile se disfrutaba del danzón y del mambo. Desde el Congreso de la Unión, el presidente de México le declaraba la guerra a Alemania. Este documental que narra los sucesos más destacados del ambiente político, social y cultural que prevalecía en la ciudad de México durante los años 40 y 50\" (http://glifos-test.gdl.up.mx/library/index.php?title=57294&lang=es%20%20%20%20%20%20&query=@title=Special:GSMSearchPage@process=@field1=encabezamiento@value1=CULTURA%20POLITICA.%20LEMB%20@mode=advanced&recnum=11&mode=advanced).","Luis Pérez Vaca, Delfino Morales, Francisco Gutierréz, Victoria Roldán, María Concepción Picasso, Wadah Bulhosen, Carlos Monsiváis, Miguel alemán, León Trotski, Alberto Ávila, Lázaro Cárdenas","México: Veracruz: Ciudad de México: Tacuba, Tepito, Polanco, Monumentos a la Revolución, Bellas Artes, colonia Roma, colonia Condesa, calzada de Tlalpan, multifamiliar Miguel Alemán, Reforma, Catedral, Ciudad Universitaria, Ángel de la Independencia. España: Asturias, Galicia, Santander.","1945, 1930, 1950, 1957, 1940, 1938-1940, 1934.","Pelicula documental","","Ficción, Registros fílmicos, Fotografías, Hemerografía, Testimonios videorales, Programas de tv, Documentos, Registros videográficos","Incidentales, Narración en off, Conducción","","",""
"MXIM-AV-1-11-47","Un viaje a la selva del Petén, en Guatemala, en busca del grupo guerrillero Fuerzas Armadas Revolucionarias (FAR), devéla a través de entrevistas realizadas con el dirigente César Montes, otros guerrilleros y miembros de una aldea que resiste al lado de la guerrilla, las causas por las que se levantaron. También muestra cómo la estrategia militar de tierra arrasada, orilló a los campesinos a vivir en medio de la selva y cómo decidieron organizarse y resistir.","Pablo Monsanto","Guatemala: Selva Lacandona, Río Usumacinta, El Petén, El Porvenir, Piedras Negras. México: Chiapas: Ocosingo: Yaxchilán.","1981, 1991, 1954","Pelicula documental","","Entrevistas, Grabación de campo, Ficción, Registros fílmicos, Fotografías, Hemerografía, Testimonios videorales, Programas de tv, Música de época, Documentos, Registros videográficos","Narración en off","","",""
"MXIM-AV-1-11-48","Narra la historia de la colonia Roma, desde la edificación en la isla La Romita, hasta el momento contemporáneo. Señala varios aspectos como su arquitectura, sus relaciones con otros lugares geográficos, su vegetación, vida social y grandes personajes que la habitaron.","Margarita Olivera, José Emilio Pacheco, Guillermo Tovar de Teresa, Mauel Tolsá, Porfirio Díaz, Pedro Lascuráin, Salvador Novo, Luis Stampa, Sergio González Rodriguez, Gustavo Peñasco, Mauel Gorospe, Miguel Rebolledo, Pino Suárez, Francicso I. Madero, Victoriano Huerta, Ignacio Capetillo, Humberto Pro, Miguel Agustín Pro, Carlos Obregón Santacilia, Roberto Montenegro, Diego Rivera, Edward Weston, Tina Modoti, José Villagrán, FRancisco Franco, Sergio Pitol, Alberto Pedret, Daniel Cubillo","México: ciudad de México: colonia Roma: calle Córdoba, calle Álvaro Obregón, Avenida chapultepec, Avenida Cuauhtémoc, Plaza Romita, Plaza Río de Janeiro, Las Cibeles, Plaza Luis Cabrera, Jardín Pushkin, calle Coahuila, Casa Lamm, calle Monterrey, calle Colima, calle Orizaba, Calle Puebla, calle Tonalá","19 de septiembre de 1985, 7 de julio de 1911, 1940, 1957, 1921, 1530, 1922, 1970, 1910, 1920, 1882, 22 de marzo de 1903, 1908, 1919, 1926-1929, 23 de noviembre de 1927, 1924-1934, 1960, 1939, 1930","Pelicula documental","","Entrevistas, Grabación de campo, Registros fílmicos, Fotografías, Pinturas, Hemerografía, Cartografía, Testimonios orales, Testimonios videorales, Música de época, Documentos","Puesta en escena, Animación, Incidentales, Narración en off, Conducción","","",""
"MXIM-AV-1-11-49","Ansioso de libertad y justicia para su nativa Anenecuilco, se convirtió en el jefe de la Revolución de Morelos-. Allí estableció brevemente una feliz comunidad paternalista tras rebelarse, por impaciencia, contra Madero. Proclamó el Plan de Ayala con las reivindicaciones agrarias de los indígenas de su región, y luchó contra Huerta y Carranza con el fin de encaminar un proyecto generoso y antiguo: tierra para los campesinos y libertad de organizarse comunalmente. La revolución zapatista es la historia de una guerra sin cuartel. Emiliano Zapata, convertido ya en mito, murió asesinado.","Luis de Velasco, Maximiliano de Habsurgo, José Zapata, Porfirio Díaz, Emiliano Zapata, Francisco I. Madero, Pablo Torres Burgos, Othilio Montaño, Josefa Espejo, Victoriano Huerta, Juvencio Robles, Obregón, Carranza, Dr. Atl, Luis Cabrera, Antonio Villareal, Francisco Villa, Manuel Palafox, Pablo González, Genaro Amezcua, Domingo Arenas, Jesús Guajardo, Gildardo Magaña. Lucio Blanco, Hermanos Vázquez Gómez, Féliz Díaz, Manuel Peláez, Felipe Ángel,","México: Morelos: Anenecuilco, Cuautla, Chinameca, Cuernavaca, Tepoztlán, Tlaltizapán, Jiutepec. Aguascalientes. Ciudad de México: Xochimilco.","1607, 1853, 1864, 1909, 8 agosto 1879, abril 1910. 1911. 25 noviembre 1911. 1914, agosto 1915. octubre 1916. 1917. 1918, 10 abril 1919.","Pelicula documental","","Grabación de campo, Fotografías, Pinturas, Hemerografía, Cartografía, Dibujos, Música de época, Documentos","Puesta en escena, Animación, Incidentales, Narración en off, Conducción","","",""
