"codigo_de_referencia","condiciones_de_acceso","existencia_y_localizacion_de_originales","idioma_original","doblajes_disponibles","subtitulajes","soporte","numero_copias","descripcion_fisica","color","audio","sistema_de_grabacion","region_dvd","requisitos_tecnicos"
"MXIM-AV-1-10-62","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-63","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-64","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-65","Usos reservados para consulta in situ","","Inglés","","Español","DVD / VHS","","Copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-10-66","Usos reservados para consulta in situ","","Inglés","","","DVD","","Copia","Blanco y negro","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-67","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-68","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-69","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-70","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-71","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-72","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-73","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-74","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-75","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-76","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-77","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-78","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","Copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-10-79","Usos reservados para consulta in situ","","Ingles,Temboka, Melanesio","","","DVD","2 dvd","Copia","Color, blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-80","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia","","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-81","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia","","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-82","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia","","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-83","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia","Color, blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-84","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd","Copia","Color, blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-86","Usos reservados para consulta in situ","","Ingles","","","DVD","1 dvd","Copia","Color, blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-10-87","Usos reservados para consulta in situ","","","","","DVD","1 dvd","Copia","","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-1","Usos reservados para consulta in situ","","Español","","Español","VHS","1 vhs","copia","Color, blanco y negro","","","","Reproductor VHS y monitor"
"MXIM-AV-1-11-2","Usos reservados para consulta in situ","","Portugués","","","DVD","1 dvd","copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-3","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-4","Usos reservados para consulta in situ","Laboratorio Audiovisual de Investigación Social (LAIS)","Español, inglés","","","DVD","1 dvd","copia","Color","Monoaural","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-11-5","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","copias","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-6","Usos reservados para consulta in situ","","","","","","","","","","","",""
"MXIM-AV-1-11-7","Usos reservados para consulta in situ","","Español","","","DVD","1 dvd / 1 vhs","dvd copia / vhs copia de producción","Color","","NTSC","región 4","Reproductor DVD y monitor"
"MXIM-AV-1-11-8","Usos reservados para consulta in situ","","Holandés, aymara, inglés","","Español","DVD","1 dvd","copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-9","Usos reservados para consulta in situ","","Inglés","","","VHS","2 vhs / 1 dvd","copias","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-10","Usos reservados para consulta in situ","","Español","","","VHS / DVD","1 dvd / 1 vhs","vhs copia de producción / dvd copia","Color, Blanco y negro","","NTSC","","Reproductor VHS / DVD y monitor"
"MXIM-AV-1-11-11","Usos reservados para consulta in situ","","","","","","1 dvd","copia","","","","",""
"MXIM-AV-1-11-12","Usos reservados para consulta in situ","","","","","DVD","1 dvd","copia","Color","","PAL","","Reproductor DVD y monitor"
"MXIM-AV-1-11-13","Usos reservados para consulta in situ","","Portugués","","","VHS /","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color, blanco y negro","Estéreo","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-14","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-15","Usos reservados para consulta in situ","","Ruso","","Inglés, Holandés","DVD","1 dvd","copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-16","Usos reservados para consulta in situ","","Italiano","","","","1 vhs / 1 dvd","copias","Color","","NTSC","",""
"MXIM-AV-1-11-17","Usos reservados para consulta in situ","","Español, inglés","","español","DVD","1 dvd","copia de producción","Color","Dolby Stereo 2.0 y Dolby Digital 5.1","NTSC","Región 4","Reproductor DVD y monitor"
"MXIM-AV-1-11-18","Usos reservados para consulta in situ","","Portugués","","","VHS / DVD","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor VHS/DVD y monitor"
"MXIM-AV-1-11-19","Usos reservados para consulta in situ","","Español, inglés","","Purépecha","VHS","2 vhs / 1 dvd","1 vhs copia de producción / 1 vhs y 1 dvd copias","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-20","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color, blanco y negro","","","","Reproductor VHS y monitor"
"MXIM-AV-1-11-21","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color, blanco y negro","","","","Reproductor VHS y monitor"
"MXIM-AV-1-11-22","Usos reservados para consulta in situ","","Español, tzotzil","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color, blanco y negro","","","","Reproductor VHS y monitor"
"MXIM-AV-1-11-23","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","","","Reproductor VHS y monitor"
"MXIM-AV-1-11-24","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","copia","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-25","Usos reservados para consulta in situ","","","","","VHS","1 dvd","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-26","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","copia","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-27","Usos reservados para consulta in situ","","Holandés","","Francés","VHS","1 vhs / 1 dvd","copia","Blanco y negro","","NTSC","",""
"MXIM-AV-1-11-28","Usos reservados para consulta in situ","","","","","","1 dvd","copia","","","","",""
"MXIM-AV-1-11-29","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","Copia de producción","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-30","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-31","Usos reservados para consulta in situ","","Español","","","VHS","","","Color, Blanco y negro","","NTSC","Región 4","Reproductor DVD y monitor"
"MXIM-AV-1-11-32","Usos reservados para consulta in situ","","Español","","","VHS, DVD","1 vhs / 2 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-11-33","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-34","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","copia","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-35","Usos reservados para consulta in situ","","Español, purépecha","","Español","VHS","1 vhs / 1 dvd","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-36","Usos reservados para consulta in situ","","Holandés","","","VHS","1 vhs","copia","Blanco y negro","","NTSC","",""
"MXIM-AV-1-11-37","Usos reservados para consulta in situ","","Español","Portugués","","DVD","1 dvd","copia de producción","Color","Dolby digital 5.1","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-38","Usos reservados para consulta in situ","","Samoano, inglés","","Inglés","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-39","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-40","Usos reservados para consulta in situ","","Alemán","","inglés,italiano,francés,español,japonés","DVD","1 dvd","copia de producción","Color, Blanco y negro","Dolby Digital 2.0","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-11-41","Usos reservados para consulta in situ","","Muda","","Intertítulos: italiano y holandés","VHS","2 vhs / 2 dvd","copia","Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-42","Usos reservados para consulta in situ","","Español","","","VHS","","","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-43","Usos reservados para consulta in situ","","Español","","","","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","","",""
"MXIM-AV-1-11-44","Usos reservados para consulta in situ","","Español","","","VHS","","","Color, Blanco y negro","","NTSC","Región 4","Reproductor DVD y monitor"
"MXIM-AV-1-11-45","Usos reservados para consulta in situ","","Español","","Español","VHS","","","Color, blanco y negro","","","","Reproductor VHS y monitor"
"MXIM-AV-1-11-46","Usos reservados para consulta in situ","","Español","","","VHS","","","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-47","Usos reservados para consulta in situ","","Inglés, español","Inglés","","DVD","1 dvd","copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-48","Usos reservados para consulta in situ","","Español","","","VHS","","","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-49","Usos reservados para consulta in situ","","Español","","","VHS","","","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-50","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-51","Usos reservados para consulta in situ","","Alemán","","Inglés","DVD / VHS","1 vhs / 1 dvd","copia","Color, Blanco y negro","","","",""
"MXIM-AV-1-11-52","Usos reservados para consulta in situ","","Español","","","VHS","","","Blanco y negro, color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-53","Usos reservados para consulta in situ","","","","","1 DVD, 1 VHS","1 vhs / 1 dvd","copia","Color","","NTSC","","Reproductor DVD/VHS y monitor"
"MXIM-AV-1-11-218","Usos reservados para consulta in situ","","Hindi, alemán","","","DVD","","","Color","","","","Reproductor de DVD y monitor"
"MXIM-AV-1-11-219","Usos reservados para consulta in situ","","","","","","","","","","","","Reproductor de DVD y monitor"
"MXIM-AV-1-11-54","Usos reservados para consulta in situ","","Portugués","","","DVD","1 dvd","copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-55","Usos reservados para consulta in situ","","","","","DVD","1 vhs / 1 dvd","copias","Blanco y negro virado a rojo, verde, azul","","","","Reproductor de DVD y monitor"
"MXIM-AV-1-11-56","Usos reservados para consulta in situ","","Lobi","","Inglés","VHS","1 vhs 7 1 dvd","copia","Color","Estéreo","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-57","Usos reservados para consulta in situ","","","","","","1 vhs","copia de producción","","","","",""
"MXIM-AV-1-11-58","Usos reservados para consulta in situ","","Inglés","","","VHS","1 vhs","copia de producción","Color","Estéreo","NTSC","",""
"MXIM-AV-1-11-59","Usos reservados para consulta in situ","","Inglés","","Inglés, Alemán","VHS","1 vhs / 2 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-60","Usos reservados para consulta in situ","","Zapoteco, español","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-61","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-62","Usos reservados para consulta in situ","","Español","","","VHS","2 vhs / 1 dvd","1 vhs copia de producción / 1 vhs y 1 dvd copia","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-63","Usos reservados para consulta in situ","","Español","","","VHS","2 vhs / 1 dvd","copia","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-64","Usos reservados para consulta in situ","","Español","","","VHS","2 vhs / 1 dvd","1 vhs copia de producción / 1 vhs y 1 dvd copia","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-65","Usos reservados para consulta in situ","","Español","","","VHS","","","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-66","Usos reservados para consulta in situ","","Portugués, hindú","","Inglés","DVD","","","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-67","Usos reservados para consulta in situ","","Español","","","VHS","","","Blanco y negro, color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-68","Usos reservados para consulta in situ","","Suizo, alemán","","Inglés","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-69","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","copia de producción","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-70","Usos reservados para consulta in situ","","Francés, portugués y lengua Kayapo","","Francés","VHS","1 vhs / 1 dvd","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-71","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-72","Usos reservados para consulta in situ","","Español","","","VHS","","","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-73","Usos reservados para consulta in situ","","Italiano","","Inglés","","1 vhs / 1 dvd","copias","Color","Dolby sorround","NTSC","",""
"MXIM-AV-1-11-74","Usos reservados para consulta in situ","","Español","","","","1 vhs / 1 dvd","copias","Color","Estéreo","NTSC","",""
"MXIM-AV-1-11-75","Usos reservados para consulta in situ","Eurolationamericana, ciaeurolatina@compuserve.com.mx, alfa@audiovisuales.tv","Inglés","Español","Español","DVD","1 dvd","copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-76","Usos reservados para consulta in situ","","","","","","","","","","","",""
"MXIM-AV-1-11-77","Usos reservados para consulta in situ","","Moré","","Alemán","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-78","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","copias","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-79","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color, blanco y negro","","NTSC","",""
"MXIM-AV-1-11-80","Usos reservados para consulta in situ","","","","","","1 vhs","copia de producción","","","","",""
"MXIM-AV-1-11-81","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","copia de producción","Color","","NTSC","",""
"MXIM-AV-1-11-82","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","copias de producción","Color, blanco y negro","","NTSC","",""
"MXIM-AV-1-11-83","Usos reservados para consulta in situ","","Español","","","VHS","","","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-84","Usos reservados para consulta in situ","","Español","","Inglés","VHS","1 vhs","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-85","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","copia de producción","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-86","Usos reservados para consulta in situ","","Español, inglés","","Español","VHS","1 vhs","copia de producción","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-87","Usos reservados para consulta in situ","","Español","","","VHS","","","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-88","Usos reservados para consulta in situ","","Italiano","","","VHS / DVD","2 vhs / 1 dvd","Copias","Color, Blanco y negro","","NTSC","","Reproductor VHS / DVD y monitor"
"MXIM-AV-1-11-89","Usos reservados para consulta in situ","","Francés","","","","1 vhs / 1 dvd","copias","Color","","NTSC","",""
"MXIM-AV-1-11-90","Usos reservados para consulta in situ","","Español","","","","1 vhs","copia","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-91","Usos reservados para consulta in situ","","Español, tzotzil","","Español","","1 vhs","copia","Color, Blanco y negro","","NTSC","",""
"MXIM-AV-1-11-92","Usos reservados para consulta in situ","","Español","","","","1 vhs","copia de producción","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-93","Usos reservados para consulta in situ","","Francés, inglés, japonés, griego","","Español","VHS","","","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-94","Usos reservados para consulta in situ","","","","","","","","","","","",""
"MXIM-AV-1-11-94-1","Usos reservados para consulta in situ","","Español","","","","","","blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-94-2","Usos reservados para consulta in situ","","Español","","","","","","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-95","Usos reservados para consulta in situ","","Español","","","","1 vhs","copia de producción","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-96","Usos reservados para consulta in situ","","","","","","1 vhs / 1 dvd","copia","Blanco y negro","","NTSC","",""
"MXIM-AV-1-11-97","Usos reservados para consulta in situ","","Español","","","","","","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-98","Usos reservados para consulta in situ","","Portugués","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","Estéreo","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-99","Usos reservados para consulta in situ","Editorial La Rana del Sur S.A de C.V laranadelsur@hotmail.com, masterización del DVD Colectivo perfil urbano A.C tel. 12513293 imagenenaccion@axtel.net. Ediciones Pentagrama S.A de C.V, ensenada 53, Col. Hipodromo, Del. Cuauhtémoc, Méx. DF, tel/fax: 52862","Español","","","DVD","1 vhs / 1 dvd","vhs copia / dvd copia de producción","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-100","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-101","Usos reservados para consulta in situ","","Portugués","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","Estéreo","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-102","Usos reservados para consulta in situ","","Español","","","VHS","2 vhs","copias de producción","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-103","Usos reservados para consulta in situ","","Portugués","","","VHS","1 vhs / 1 dvd","copia","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-104","Usos reservados para consulta in situ","","Portugués","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","Estéreo","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-105","Usos reservados para consulta in situ","","Francés","","","VHS","1 vhs / 1 dvd","copia","Color, Blanco y negro","Dolby","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-106","Usos reservados para consulta in situ","","Español","","","DVD","2 dvd / 1 vhs","1 dvd y 1 vhs copia de producción / 1 dvd copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-107","Usos reservados para consulta in situ","","Español","","","","","","Color","Estéreo","NTSC","",""
"MXIM-AV-1-11-108","Usos reservados para consulta in situ","","Español","","","VHS","1 dvd","copia de producción","Color, Blanco y negro","","NTSC","Región 4","Reproductor VHS y monitor"
"MXIM-AV-1-11-109","Usos reservados para consulta in situ","","Español","","","VHS","2 vhs / 1 dvd","1 vhs copia de producción / 1 vhs y 1 dvd copias","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-110","Usos reservados para consulta in situ","","","","","","1 vhs / 1 dvd","copia","Color, Blanco y negro","","","",""
"MXIM-AV-1-11-111","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-112","Usos reservados para consulta in situ","","Español","","","VHS","","","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-113","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","copia","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-114","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","copia","Color, blanco y negro","","PAL","","Reproductor VHS y monitor"
"MXIM-AV-1-11-115","Usos reservados para consulta in situ","","Portugués","","","VHS","","","Color","Estéreo","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-116","Usos reservados para consulta in situ","","Español","","","VHS","","","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-117","Usos reservados para consulta in situ","","Portugués","","","VHS","","","Color","Estéreo","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-118","Usos reservados para consulta in situ","","Español","","","VHS","","","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-119","Usos reservados para consulta in situ","","Portugués","","","VHS","","","Color","Estéreo","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-120","Usos reservados para consulta in situ","","Indú, inglés","","Inglés","DVD","","","Color","","","","Reproductor VHS y monitor"
"MXIM-AV-1-11-121","Usos reservados para consulta in situ","","Portugués","","Francés","DVD","","","Color","","","","Reproductor VHS y monitor"
"MXIM-AV-1-11-122","Usos reservados para consulta in situ","","Español","","","DVD / VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor DVD / VHS y monitor"
"MXIM-AV-1-11-123","Usos reservados para consulta in situ","","Español","","","DVD","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-11-124","Usos reservados para consulta in situ","","Francés","","","DVD","1 dvd","copia","Color","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-11-125","Usos reservados para consulta in situ","","Español","","","","2 vhs / 1 dvd","1 vhs copia de producción / 1 vhs y 1 dvd copias","Color","","","",""
"MXIM-AV-1-11-126","Usos reservados para consulta in situ","","Italiano","","","VHS","1 dvd","copia","Blanco y negro","","NTSC","",""
"MXIM-AV-1-11-127","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs / 1 dvd","copias","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-128","Usos reservados para consulta in situ","","Español","","","VHS","1 vhs","copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-129","Usos reservados para consulta in situ","","Español","","","VHS","","","Color, Blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-130","Usos reservados para consulta in situ","","Ñähñu","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-131","Usos reservados para consulta in situ","","Inglés, danés","","Inglés","","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color, Blanco y negro","Estéreo","NTSC","",""
"MXIM-AV-1-11-132","Usos reservados para consulta in situ","Editorial La Rana del Sur S.A de C.V laranadelsur@hotmail.com, Ediciones Pentagrama S.A de C.V, ensenada 53, Col. Hipodromo, Del. Cuauhtémoc, Méx. DF, tel/fax: 52862230, ediciones@pentagrama.com.mx","Español","","","DVD","1 dvd","copia de producción","Color","","","Multiregión","Reproductor DVD y monitor"
"MXIM-AV-1-11-133","Usos reservados para consulta in situ","","Mixteco, español","","Español","VHS","","","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-134","Usos reservados para consulta in situ","","Español","","","VHS","","","Color, blanco y negro","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-135","Usos reservados para consulta in situ","","Español, inglés","","Purépecha","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-136","Usos reservados para consulta in situ","","Zapoteco","","Español","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
"MXIM-AV-1-11-137","Usos reservados para consulta in situ","","Español","","","DVD","1 vhs / 1 dvd","copia","Color, blanco y negro","","NTSC","","Reproductor DVD y monitor"
"MXIM-AV-1-11-138","Usos reservados para consulta in situ","","Inglés","","Español","VHS","1 dvd","copia","Color, Blanco y negro","Monoaural","NTSC","",""
"MXIM-AV-1-11-139","Usos reservados para consulta in situ","","Holandés","Inglés","","","1 vhs / 1 dvd","copias","Blanco y negro","Monoaural","NTSC","",""
"MXIM-AV-1-11-140","Usos reservados para consulta in situ","","Inglés","","Español","","1 dvd","copia","Color","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-141","Usos reservados para consulta in situ","","Muda, inglés, francés","","","DVD","1 dvd","copia","Blanco y negro","","","","Reproductor DVD y monitor"
"MXIM-AV-1-11-142","Usos reservados para consulta in situ","","Inglés","","","VHS","1 vhs / 1 dvd","vhs copia de producción / dvd copia","Color","","NTSC","","Reproductor VHS y monitor"
